City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-07-26 21:45:28,-53.15,-70.9167,35.71,69,0,9.22
1,Cherskiy,RU,2022-07-26 21:51:12,68.75,161.3,48.47,53,4,10.92
2,Saint-Ambroise,CA,2022-07-26 21:47:54,48.5501,-71.3324,69.4,56,88,11.5
3,Ranau,MY,2022-07-26 21:47:54,5.9538,116.6641,68.83,97,74,1.03
4,Cape Town,ZA,2022-07-26 21:43:40,-33.9258,18.4232,55.11,83,75,3.44
5,Nanortalik,GL,2022-07-26 21:47:55,60.1432,-45.2371,44.37,92,77,2.59
6,Dingle,PH,2022-07-26 21:41:16,10.9995,122.6711,76.77,92,67,4.38
7,Busselton,AU,2022-07-26 21:45:35,-33.65,115.3333,48.27,85,8,6.82
8,East London,ZA,2022-07-26 21:49:48,-33.0153,27.9116,63.77,48,15,7.05
9,Ngunguru,NZ,2022-07-26 21:47:55,-35.6167,174.5,57.18,71,20,14.05
10,Ilo,PE,2022-07-26 21:47:56,-17.6394,-71.3375,61.66,77,100,8.05
11,Baker City,US,2022-07-26 21:47:56,44.7749,-117.8344,93.6,24,0,5.75
12,Hithadhoo,MV,2022-07-26 21:47:56,-0.6,73.0833,79.75,79,100,14.27
13,Ternate,ID,2022-07-26 21:47:57,0.8,127.4,79.93,81,98,3.65
14,Inta,RU,2022-07-26 21:47:57,66.0317,60.1659,47.86,85,99,12.88
15,Ushuaia,AR,2022-07-26 21:43:09,-54.8,-68.3,31.66,74,20,1.14
16,Pong,TH,2022-07-26 21:47:58,19.1493,100.2752,74.16,97,83,1.77
17,Atuona,PF,2022-07-26 21:47:58,-9.8,-139.0333,77.29,76,10,16.93
18,Nuuk,GL,2022-07-26 21:42:51,64.1835,-51.7216,45.21,87,75,8.05
19,Trogir,HR,2022-07-26 21:47:58,43.5125,16.2517,83.79,65,0,4.61
20,Jamestown,US,2022-07-26 21:45:04,42.097,-79.2353,80.02,47,100,8.05
21,Hilo,US,2022-07-26 21:47:22,19.7297,-155.09,88.29,94,75,8.05
22,Carnarvon,AU,2022-07-26 21:47:59,-24.8667,113.6333,61.88,44,0,8.84
23,Puerto Ayora,EC,2022-07-26 21:47:59,-0.7393,-90.3518,76.96,88,100,8.01
24,Ewa Beach,US,2022-07-26 21:48:00,21.3156,-158.0072,84.15,59,100,11.5
25,Luderitz,NA,2022-07-26 21:48:00,-26.6481,15.1594,55.06,82,39,5.39
26,Miri,MY,2022-07-26 21:48:00,4.4148,114.0089,75.34,100,40,0.0
27,Praia Da Vitoria,PT,2022-07-26 21:45:26,38.7333,-27.0667,75.45,88,20,5.48
28,Bluff,NZ,2022-07-26 21:46:41,-46.6,168.3333,44.8,90,100,21.88
29,Tasiilaq,GL,2022-07-26 21:48:01,65.6145,-37.6368,41.16,93,100,1.57
30,Finschhafen,PG,2022-07-26 21:48:01,-6.6024,147.8681,79.59,81,100,6.17
31,Mar Del Plata,AR,2022-07-26 21:46:48,-38.0023,-57.5575,57.09,98,100,5.75
32,Burnie,AU,2022-07-26 21:48:02,-41.0667,145.9167,46.92,71,8,8.43
33,Airai,TL,2022-07-26 21:48:02,-8.9266,125.4092,52.95,69,85,4.21
34,Albany,US,2022-07-26 21:45:45,42.6001,-73.9662,78.78,52,96,7.99
35,Vaini,TO,2022-07-26 21:48:03,-21.2,-175.2,73.51,72,100,12.88
36,Jiayuguan,CN,2022-07-26 21:48:03,39.8167,98.3,72.84,19,10,12.77
37,Takoradi,GH,2022-07-26 21:48:03,4.8845,-1.7554,75.24,89,100,9.69
38,Yellowknife,CA,2022-07-26 21:42:03,62.456,-114.3525,72.12,46,20,6.91
39,Inuvik,CA,2022-07-26 21:48:04,68.3499,-133.7218,63.61,57,75,11.5
40,Hamilton,US,2022-07-26 21:43:50,39.1834,-84.5333,79.72,80,100,8.05
41,Souillac,MU,2022-07-26 21:46:04,-20.5167,57.5167,68.38,88,40,6.91
42,Nikolskoye,RU,2022-07-26 21:46:44,59.7035,30.7861,64.29,86,94,5.53
43,Rikitea,PF,2022-07-26 21:48:05,-23.1203,-134.9692,75.4,73,70,12.15
44,Ponta Do Sol,PT,2022-07-26 21:48:05,32.6667,-17.1,81.23,54,4,7.34
45,Kodiak,US,2022-07-26 21:46:51,57.79,-152.4072,53.11,71,0,8.05
46,Norman Wells,CA,2022-07-26 21:43:37,65.282,-126.8329,82.44,32,75,5.75
47,Faanui,PF,2022-07-26 21:49:06,-16.4833,-151.75,77.67,74,65,9.86
48,Esperance,AU,2022-07-26 21:49:06,-33.8667,121.9,53.44,80,100,5.68
49,Narsaq,GL,2022-07-26 21:49:06,60.9167,-46.05,57.42,86,39,4.16
50,Faranah,GN,2022-07-26 21:49:07,10.0404,-10.7434,72.12,94,99,4.65
51,Turukhansk,RU,2022-07-26 21:49:07,65.8167,87.9833,52.27,88,0,1.54
52,Butaritari,KI,2022-07-26 21:45:28,3.0707,172.7902,82.18,74,12,19.26
53,Barrow,US,2022-07-26 21:48:08,71.2906,-156.7887,35.62,93,100,16.11
54,Taoudenni,ML,2022-07-26 21:49:08,22.6783,-3.9836,102.65,10,50,14.0
55,Kouroussa,GN,2022-07-26 21:49:09,10.65,-9.8833,73.08,93,75,2.55
56,Clyde River,CA,2022-07-26 21:49:09,70.4692,-68.5914,39.43,100,100,9.22
57,Klaksvik,FO,2022-07-26 21:44:51,62.2266,-6.589,50.92,74,87,7.9
58,Hami,CN,2022-07-26 21:49:09,42.8,93.45,78.69,16,20,10.45
59,Kaitangata,NZ,2022-07-26 21:49:10,-46.2817,169.8464,45.82,96,100,13.02
60,Mataura,NZ,2022-07-26 21:49:10,-46.1927,168.8643,44.47,96,100,6.91
61,Saint-Joseph,RE,2022-07-26 21:43:37,-21.3667,55.6167,64.78,79,17,8.5
62,Alofi,NU,2022-07-26 21:49:11,-19.0595,-169.9187,76.89,61,75,13.8
63,Tiarei,PF,2022-07-26 21:49:11,-17.5333,-149.3333,78.82,84,100,14.67
64,Vila Do Maio,CV,2022-07-26 21:49:12,15.1333,-23.2167,81.39,80,85,4.45
65,Talnakh,RU,2022-07-26 21:52:55,69.4865,88.3972,52.21,65,33,5.61
66,Arraial Do Cabo,BR,2022-07-26 21:41:06,-22.9661,-42.0278,71.56,83,0,11.5
67,Lorengau,PG,2022-07-26 21:46:08,-2.0226,147.2712,82.71,77,86,9.55
68,Hobart,AU,2022-07-26 21:49:12,-42.8794,147.3294,43.05,96,20,5.75
69,Cruz Alta,BR,2022-07-26 21:49:13,-28.6386,-53.6064,65.17,87,7,6.76
70,Puyang,CN,2022-07-26 21:49:13,29.4603,119.8861,76.19,79,37,1.43
71,Pangai,TO,2022-07-26 21:49:13,-19.8,-174.35,75.58,67,99,14.74
72,Walvis Bay,NA,2022-07-26 21:49:14,-22.9575,14.5053,52.09,81,0,4.61
73,Great Yarmouth,GB,2022-07-26 21:49:14,52.6083,1.7305,60.03,70,84,6.31
74,Provideniya,RU,2022-07-26 21:49:14,64.3833,-173.3,48.36,71,0,13.42
75,Sakaiminato,JP,2022-07-26 21:49:15,35.55,133.2333,78.78,94,40,6.91
76,Saint George,US,2022-07-26 21:52:57,37.1041,-113.5841,94.42,37,0,5.01
77,Tuim,RU,2022-07-26 21:49:15,54.3417,89.9261,47.91,93,85,4.5
78,Hermanus,ZA,2022-07-26 21:49:15,-34.4187,19.2345,47.8,87,75,5.68
79,Belmonte,BR,2022-07-26 21:49:16,-15.8631,-38.8828,71.42,75,6,9.37
80,Presidencia Roque Saenz Pena,AR,2022-07-26 21:44:26,-26.7852,-60.4388,83.46,33,5,7.31
81,Marawi,PH,2022-07-26 21:49:16,7.9986,124.2928,68.97,91,99,2.93
82,Tabou,CI,2022-07-26 21:49:17,4.423,-7.3528,75.58,80,100,11.16
83,Tiksi,RU,2022-07-26 21:49:17,71.6872,128.8694,52.93,77,60,0.92
84,Port Alfred,ZA,2022-07-26 21:46:51,-33.5906,26.891,65.39,45,14,5.01
85,Brownwood,US,2022-07-26 21:49:17,31.7093,-98.9912,103.32,26,4,14.58
86,Dikson,RU,2022-07-26 21:49:18,73.5069,80.5464,43.43,97,100,27.04
87,Banda Aceh,ID,2022-07-26 21:46:10,5.5577,95.3222,77.52,83,100,9.19
88,Japura,ID,2022-07-26 21:49:18,-0.3167,102.35,73.94,97,92,2.37
89,Ponta Delgada,PT,2022-07-26 21:49:19,37.7333,-25.6667,72.32,94,40,5.75
90,Borovskoy,KZ,2022-07-26 21:49:19,53.8,64.15,63.79,88,100,11.65
91,Leshukonskoye,RU,2022-07-26 21:49:20,64.8989,45.7622,58.06,68,99,5.61
92,Matehuala,MX,2022-07-26 21:50:20,23.65,-100.65,85.05,27,100,5.91
93,Zarubino,RU,2022-07-26 21:50:21,42.63,131.0922,69.4,90,100,2.06
94,Huarmey,PE,2022-07-26 21:50:21,-10.0681,-78.1522,65.82,77,57,11.1
95,Nelson Bay,AU,2022-07-26 21:50:21,-32.7167,152.15,51.01,72,4,15.99
96,Rio Gallegos,AR,2022-07-26 21:50:27,-51.6226,-69.2181,26.65,86,0,5.75
97,Saint-Philippe,RE,2022-07-26 21:50:22,-21.3585,55.7679,65.79,84,26,9.91
98,Labuan,MY,2022-07-26 21:50:22,5.2767,115.2417,75.56,100,40,0.0
99,Belaya Gora,RU,2022-07-26 21:50:23,68.5333,146.4167,52.72,49,92,12.93
100,Batemans Bay,AU,2022-07-26 21:50:23,-35.7167,150.1833,51.1,65,19,6.73
101,New Norfolk,AU,2022-07-26 21:50:23,-42.7826,147.0587,42.71,87,79,2.93
102,Solnechnyy,RU,2022-07-26 21:50:24,50.7214,136.6319,59.45,92,100,3.36
103,Ribeira Grande,PT,2022-07-26 21:50:24,38.5167,-28.7,75.0,82,35,6.33
104,Aswan,EG,2022-07-26 21:50:24,24.0934,32.907,94.3,9,0,5.75
105,Idlib,SY,2022-07-26 21:50:25,35.9306,36.6339,73.99,60,0,6.69
106,Pomichna,UA,2022-07-26 21:50:25,48.2422,31.4158,63.73,59,0,6.26
107,Harper,LR,2022-07-26 21:50:25,4.375,-7.7169,75.49,79,100,10.67
108,Petropavlovsk-Kamchatskiy,RU,2022-07-26 21:50:26,53.0452,158.6483,57.79,82,75,2.24
109,Angoche,MZ,2022-07-26 21:50:26,-16.2325,39.9086,71.55,70,33,10.18
110,Mariquita,CO,2022-07-26 21:50:26,5.1989,-74.893,80.02,79,61,3.49
111,Kavieng,PG,2022-07-26 21:50:27,-2.5744,150.7967,83.26,70,89,12.88
112,Eskil,TR,2022-07-26 21:50:27,38.4017,33.4131,69.06,35,0,5.61
113,Thyboron,DK,2022-07-26 21:50:27,56.6985,8.2124,55.18,75,44,31.92
114,Waddan,LY,2022-07-26 21:50:28,29.1614,16.139,82.78,34,0,14.14
115,Nuevo Progreso,MX,2022-07-26 21:50:28,23.1667,-97.95,93.54,50,52,11.01
116,Taltal,CL,2022-07-26 21:50:28,-25.4,-70.4833,60.94,75,30,4.85
117,Jiaocheng,CN,2022-07-26 21:50:29,24.6774,116.1389,74.41,88,47,1.34
118,Kangaatsiaq,GL,2022-07-26 21:48:29,68.3065,-53.4641,40.37,94,100,7.23
119,Moose Factory,CA,2022-07-26 21:50:29,51.2585,-80.6094,64.4,77,0,14.97
120,Ulaanbaatar,MN,2022-07-26 21:47:48,47.9077,106.8832,50.13,81,40,2.24
121,Broken Hill,AU,2022-07-26 21:48:35,-31.95,141.4333,42.51,86,1,4.7
122,Kruisfontein,ZA,2022-07-26 21:50:30,-34.0033,24.7314,55.89,53,37,8.46
123,Fukue,JP,2022-07-26 21:50:30,32.6881,128.8419,79.03,78,0,6.06
124,San Carlos De Bariloche,AR,2022-07-26 21:50:28,-41.1456,-71.3082,40.24,87,100,4.61
125,Tuktoyaktuk,CA,2022-07-26 21:50:31,69.4541,-133.0374,62.6,67,100,23.02
126,Coruripe,BR,2022-07-26 21:50:31,-10.1256,-36.1756,73.78,82,99,13.04
127,Bredasdorp,ZA,2022-07-26 21:50:31,-34.5322,20.0403,50.68,94,78,5.91
128,Atig,RU,2022-07-26 21:50:32,56.6931,59.4227,59.45,97,92,8.66
129,Qaanaaq,GL,2022-07-26 21:50:32,77.484,-69.3632,43.84,65,19,4.45
130,Bambous Virieux,MU,2022-07-26 21:46:45,-20.3428,57.7575,68.25,88,40,6.91
131,Minna,NG,2022-07-26 21:50:32,9.6139,6.5569,74.88,88,96,3.91
132,Cayenne,GF,2022-07-26 21:50:33,4.9333,-52.3333,78.1,1,75,5.75
133,Kenai,US,2022-07-26 21:50:33,60.5544,-151.2583,57.29,64,0,19.57
134,Cocorit,MX,2022-07-26 21:50:33,27.5833,-109.9667,83.46,75,85,12.37
135,Lavrentiya,RU,2022-07-26 21:50:34,65.5833,-171.0,39.61,87,100,15.03
136,Saint-Augustin,CA,2022-07-26 21:50:34,51.226,-58.6502,67.55,64,84,22.68
137,Fairview,US,2022-07-26 21:50:35,40.8126,-73.999,83.53,44,0,13.8
138,Yulara,AU,2022-07-26 21:55:06,-25.2406,130.9889,40.8,62,0,9.44
139,Deputatskiy,RU,2022-07-26 21:52:34,69.3,139.9,54.54,61,46,5.23
140,Katsuura,JP,2022-07-26 21:46:47,35.1333,140.3,80.49,88,81,14.05
141,Lebu,CL,2022-07-26 21:46:43,-37.6167,-73.65,52.21,81,3,16.22
142,Pacific Grove,US,2022-07-26 21:51:03,36.6177,-121.9166,76.21,74,0,16.11
143,Colares,PT,2022-07-26 21:55:07,38.7992,-9.4469,69.76,73,0,23.0
144,Leningradskiy,RU,2022-07-26 21:55:07,69.3833,178.4167,34.45,96,100,7.54
145,Isangel,VU,2022-07-26 21:55:07,-19.55,169.2667,77.11,78,98,3.44
146,Gorontalo,ID,2022-07-26 21:55:08,0.5412,123.0595,74.68,95,89,2.17
147,Palmer,US,2022-07-26 21:55:08,42.1584,-72.3287,80.2,52,75,10.36
148,Hasaki,JP,2022-07-26 21:55:08,35.7333,140.8333,81.28,87,91,16.04
149,Miyako,JP,2022-07-26 21:55:09,39.6367,141.9525,74.7,90,98,2.98
150,Papetoai,PF,2022-07-26 21:55:09,-17.4961,-149.8729,78.39,80,100,13.47
151,Zhangjiakou,CN,2022-07-26 21:55:10,40.81,114.8794,67.77,84,45,3.78
152,Alexandria,EG,2022-07-26 21:55:10,31.2156,29.9553,77.54,78,40,9.22
153,Zaraza,VE,2022-07-26 21:55:10,9.3503,-65.3245,85.35,57,41,2.44
154,Avarua,CK,2022-07-26 21:50:17,-21.2078,-159.775,75.25,60,40,13.8
155,Pucallpa,PE,2022-07-26 21:55:11,-8.3791,-74.5539,80.64,78,75,5.75
156,Ancud,CL,2022-07-26 21:55:11,-41.8697,-73.8203,50.23,93,92,9.33
157,Namatanai,PG,2022-07-26 21:55:12,-3.6667,152.4333,81.54,71,78,7.16
158,Khasan,RU,2022-07-26 21:55:12,42.4308,130.6434,70.07,91,100,2.15
159,Sao Joao De Pirabas,BR,2022-07-26 21:55:12,-0.7747,-47.1772,76.48,90,97,6.35
160,Kapaa,US,2022-07-26 21:55:13,22.0752,-159.319,84.18,71,6,8.01
161,Yakeshi,CN,2022-07-26 21:55:13,49.2833,120.7333,65.43,92,62,4.21
162,Saldanha,ZA,2022-07-26 21:52:22,-33.0117,17.9442,53.65,88,11,7.61
163,Vohibinany,MG,2022-07-26 21:55:14,-17.35,49.0333,61.75,98,46,1.19
164,Olean,US,2022-07-26 21:55:14,42.0776,-78.4297,77.65,53,75,0.0
165,Dongying,CN,2022-07-26 21:55:14,37.4564,118.4856,74.88,88,0,5.55
166,Ostrovnoy,RU,2022-07-26 21:55:15,68.0531,39.5131,59.32,74,100,17.43
167,Acapulco,MX,2022-07-26 21:55:15,16.8634,-99.8901,85.46,68,79,6.4
168,Khatanga,RU,2022-07-26 21:55:15,71.9667,102.5,69.1,54,85,8.43
169,Atocha,BO,2022-07-26 21:55:16,-20.9333,-66.2333,53.87,16,9,8.01
170,Araouane,ML,2022-07-26 21:55:16,18.9048,-3.5265,100.44,9,50,9.24
171,Porto Novo,BJ,2022-07-26 21:55:16,6.4965,2.6036,76.37,86,99,10.4
172,Broome,US,2022-07-26 21:55:17,42.2506,-75.833,79.66,51,60,3.0
173,Saskylakh,RU,2022-07-26 21:55:17,71.9167,114.0833,69.84,73,29,7.7
174,Road Town,VG,2022-07-26 21:55:17,18.4167,-64.6167,84.24,74,40,9.22
175,Pisco,PE,2022-07-26 21:55:00,-13.7,-76.2167,64.45,77,84,4.61
176,Thompson,CA,2022-07-26 21:55:18,55.7435,-97.8558,64.56,68,75,6.91
177,Chokurdakh,RU,2022-07-26 21:55:18,70.6333,147.9167,50.83,51,87,12.08
178,Touros,BR,2022-07-26 21:53:36,-5.1989,-35.4608,75.83,80,34,12.62
179,Biu,NG,2022-07-26 21:55:19,10.6129,12.1946,72.01,83,98,7.49
180,Mnogovershinnyy,RU,2022-07-26 21:55:19,53.9353,139.9242,55.94,89,100,1.23
181,Havelock,US,2022-07-26 21:55:19,34.8791,-76.9013,87.78,82,0,16.11
182,Qandala,SO,2022-07-26 21:56:20,11.472,49.8728,89.17,48,3,6.58
183,Bairiki,KI,2022-07-26 21:56:20,1.3292,172.9752,82.4,78,40,13.8
184,Alihe,CN,2022-07-26 21:56:20,50.5667,123.7167,66.07,99,97,2.75
185,Maine-Soroa,NE,2022-07-26 21:56:21,13.2114,12.0241,86.56,57,75,16.42
186,Georgetown,MY,2022-07-26 21:55:10,5.4112,100.3354,80.89,92,20,2.3
187,Ilulissat,GL,2022-07-26 21:56:21,69.2167,-51.1,37.45,97,100,4.54
188,Yinchuan,CN,2022-07-26 21:55:55,38.4681,106.2731,70.25,52,100,13.47
